22:11:41 INFO  run extreme-full-1.6M-d256h8-v2 | device=cuda | params=1564932 | d256/h8 budget 32 preset extreme-full budget_scale 1.000
00:04:13 INFO  step   7400 | loss 1.2195 | cell 0.787 | grid 0.542 | stop 25.3 | 1.1 it/s
00:05:38 INFO  step   7500 | loss 1.2299 | cell 0.779 | grid 0.526 | stop 25.3 | 1.1 it/s
00:07:04 INFO  step   7600 | loss 1.3076 | cell 0.752 | grid 0.487 | stop 26.1 | 1.1 it/s
00:08:29 INFO  step   7700 | loss 1.2585 | cell 0.775 | grid 0.526 | stop 25.7 | 1.1 it/s
00:09:56 INFO  step   7800 | loss 1.2058 | cell 0.798 | grid 0.552 | stop 25.0 | 1.1 it/s
00:11:20 INFO  step   7900 | loss 1.2691 | cell 0.770 | grid 0.508 | stop 25.9 | 1.1 it/s
00:12:45 INFO  step   8000 | loss 1.2910 | cell 0.766 | grid 0.490 | stop 26.2 | 1.1 it/s
00:12:48 INFO  eval  step   8000 | solved 0.5376 | finished 0.53 | passes 25.06
00:15:03 INFO  step   8100 | loss 1.2197 | cell 0.782 | grid 0.539 | stop 25.1 | 1.1 it/s
00:16:28 INFO  step   8200 | loss 1.2527 | cell 0.790 | grid 0.568 | stop 25.9 | 1.1 it/s
00:17:54 INFO  step   8300 | loss 1.2509 | cell 0.764 | grid 0.508 | stop 25.2 | 1.1 it/s
00:19:19 INFO  step   8400 | loss 1.2045 | cell 0.796 | grid 0.589 | stop 25.1 | 1.1 it/s
00:20:45 INFO  step   8500 | loss 1.2646 | cell 0.776 | grid 0.508 | stop 25.6 | 1.1 it/s
00:22:10 INFO  step   8600 | loss 1.1923 | cell 0.794 | grid 0.578 | stop 24.6 | 1.1 it/s
00:23:35 INFO  step   8700 | loss 1.2657 | cell 0.779 | grid 0.531 | stop 25.5 | 1.1 it/s
00:25:00 INFO  step   8800 | loss 1.2737 | cell 0.766 | grid 0.516 | stop 25.7 | 1.1 it/s
00:26:26 INFO  step   8900 | loss 1.1316 | cell 0.821 | grid 0.620 | stop 24.2 | 1.1 it/s
00:27:51 INFO  step   9000 | loss 1.1920 | cell 0.798 | grid 0.565 | stop 25.1 | 1.1 it/s
00:27:54 INFO  eval  step   9000 | solved 0.5620 | finished 0.56 | passes 24.41
00:29:51 INFO  step   9100 | loss 1.1763 | cell 0.802 | grid 0.591 | stop 24.7 | 1.1 it/s
00:31:35 INFO  step   9200 | loss 1.2084 | cell 0.798 | grid 0.562 | stop 25.2 | 1.1 it/s
00:32:59 INFO  step   9300 | loss 1.2044 | cell 0.800 | grid 0.565 | stop 25.2 | 1.1 it/s
00:34:24 INFO  step   9400 | loss 1.2695 | cell 0.773 | grid 0.534 | stop 25.5 | 1.1 it/s
00:35:49 INFO  step   9500 | loss 1.2561 | cell 0.782 | grid 0.542 | stop 25.8 | 1.1 it/s
00:37:15 INFO  step   9600 | loss 1.1603 | cell 0.817 | grid 0.622 | stop 24.3 | 1.1 it/s
00:38:40 INFO  step   9700 | loss 1.2022 | cell 0.797 | grid 0.570 | stop 24.8 | 1.1 it/s
00:40:05 INFO  step   9800 | loss 1.1626 | cell 0.813 | grid 0.602 | stop 24.6 | 1.1 it/s
00:41:30 INFO  step   9900 | loss 1.1790 | cell 0.799 | grid 0.570 | stop 24.3 | 1.1 it/s
00:42:56 INFO  step  10000 | loss 1.2384 | cell 0.785 | grid 0.544 | stop 25.4 | 1.1 it/s
00:43:00 INFO  eval  step  10000 | solved 0.5928 | finished 0.59 | passes 24.12
00:45:09 INFO  step  10100 | loss 1.1219 | cell 0.826 | grid 0.615 | stop 23.7 | 1.1 it/s
00:46:40 INFO  step  10200 | loss 1.1725 | cell 0.805 | grid 0.583 | stop 24.3 | 1.1 it/s
00:48:06 INFO  step  10300 | loss 1.2703 | cell 0.779 | grid 0.536 | stop 25.6 | 1.1 it/s
00:49:31 INFO  step  10400 | loss 1.2369 | cell 0.785 | grid 0.547 | stop 25.2 | 1.1 it/s
00:50:56 INFO  step  10500 | loss 1.2175 | cell 0.794 | grid 0.555 | stop 24.8 | 1.1 it/s
00:52:21 INFO  step  10600 | loss 1.1911 | cell 0.803 | grid 0.586 | stop 24.9 | 1.1 it/s
00:53:47 INFO  step  10700 | loss 1.1792 | cell 0.813 | grid 0.596 | stop 24.5 | 1.1 it/s
00:55:13 INFO  step  10800 | loss 1.2063 | cell 0.790 | grid 0.555 | stop 24.6 | 1.1 it/s
00:56:38 INFO  step  10900 | loss 1.2330 | cell 0.779 | grid 0.529 | stop 25.1 | 1.1 it/s
00:58:03 INFO  step  11000 | loss 1.1552 | cell 0.817 | grid 0.620 | stop 24.2 | 1.1 it/s
00:58:06 INFO  eval  step  11000 | solved 0.5967 | finished 0.60 | passes 23.61
01:00:21 INFO  step  11100 | loss 1.2263 | cell 0.792 | grid 0.552 | stop 25.0 | 1.1 it/s
01:01:46 INFO  step  11200 | loss 1.1787 | cell 0.808 | grid 0.583 | stop 24.8 | 1.1 it/s
01:03:10 INFO  step  11300 | loss 1.2067 | cell 0.781 | grid 0.557 | stop 24.7 | 1.1 it/s
01:04:36 INFO  step  11400 | loss 1.1993 | cell 0.808 | grid 0.578 | stop 24.7 | 1.1 it/s
01:06:01 INFO  step  11500 | loss 1.1946 | cell 0.801 | grid 0.586 | stop 24.7 | 1.1 it/s
01:07:25 INFO  step  11600 | loss 1.1957 | cell 0.785 | grid 0.562 | stop 24.3 | 1.1 it/s
01:08:51 INFO  step  11700 | loss 1.2105 | cell 0.789 | grid 0.562 | stop 24.8 | 1.1 it/s
01:10:16 INFO  step  11800 | loss 1.8222 | cell 0.593 | grid 0.195 | stop 30.8 | 1.1 it/s
01:11:42 INFO  step  11900 | loss 1.2422 | cell 0.789 | grid 0.560 | stop 25.4 | 1.1 it/s
01:13:10 INFO  step  12000 | loss 1.1966 | cell 0.796 | grid 0.576 | stop 24.5 | 1.1 it/s
01:13:13 INFO  eval  step  12000 | solved 0.6045 | finished 0.60 | passes 23.71
01:15:08 INFO  step  12100 | loss 1.1254 | cell 0.827 | grid 0.625 | stop 23.9 | 1.1 it/s
01:16:57 INFO  step  12200 | loss 1.1838 | cell 0.807 | grid 0.591 | stop 24.7 | 1.1 it/s
01:18:26 INFO  step  12300 | loss 1.1949 | cell 0.809 | grid 0.581 | stop 25.0 | 1.1 it/s
01:19:53 INFO  step  12400 | loss 1.1659 | cell 0.805 | grid 0.591 | stop 24.3 | 1.1 it/s
